Vorgangsnummer,Kategorie,Ort,Zustand,Erstellungsdatum,Letztes Bearbeitungsdatum,Eingangskanal
8tljwy,Straßenbeleuchtung,"Südendstraße 15, 76137 Karlsruhe, Deutschland",Abgeschlossen,2014-12-31T18:54:00+01:00,2015-01-05T16:01:00+01:00,MOBILE
ac5h9o,Straßenbeleuchtung,"Leibnizstraße 1, 76137 Karlsruhe, Deutschland",Abgeschlossen,2014-12-31T18:53:00+01:00,2015-01-05T16:01:00+01:00,MOBILE
whfbaj,Straßenbeleuchtung,"Südendstraße 16, 76137 Karlsruhe, Deutschland",Abgeschlossen,2014-12-31T18:53:00+01:00,2015-01-05T16:02:00+01:00,MOBILE
0dsy13,Straßenbeleuchtung,"Südendstraße 21, 76137 Karlsruhe, Deutschland",Abgeschlossen,2014-12-31T18:52:00+01:00,2015-01-05T16:02:00+01:00,MOBILE
aygtsk,Straßenbeleuchtung,"Rheinbrückenstraße, 76187 Karlsruhe, Deutschland",Behoben,2014-12-31T16:56:00+01:00,2015-01-20T12:27:00+01:00,MOBILE
glkoeq,KA-Feedback Nutzerumfrage,"Im Haberacker 6C, 76227 Karlsruhe, Deutschland",Eingetroffen,2014-12-31T16:44:00+01:00,2014-12-31T16:44:00+01:00,MOBILE
pdc3fz,Verkehrsverstöße,"Sophienstraße 189, 76185 Karlsruhe, Deutschland",Behoben,2014-12-31T15:57:00+01:00,2015-01-05T11:58:00+01:00,MOBILE
d47l0f,Verunreinigungen,"Kentuckyallee 76, 76149 Karlsruhe, Deutschland",Eingetroffen,2014-12-31T14:29:00+01:00,2014-12-31T14:29:00+01:00,MOBILE
0wcwin,KA-Feedback Nutzerumfrage,"Saarlandstraße 110, 76187 Karlsruhe, Deutschland",Eingetroffen,2014-12-31T10:12:00+01:00,2014-12-31T10:12:00+01:00,MOBILE
jqf8nx,Gefahrenstellen,"Welfenstraße 29, 76137 Karlsruhe, Deutschland",Behoben,2014-12-31T06:26:00+01:00,2015-01-08T07:33:00+01:00,MOBILE
lfzpid,Gefahrenstellen,"Welfenstraße 29, 76137 Karlsruhe, Deutschland",Behoben,2014-12-31T06:25:00+01:00,2015-01-08T07:33:00+01:00,MOBILE
p9a35q,Gefahrenstellen,"Welfenstraße 2, 76137 Karlsruhe, Deutschland",Behoben,2014-12-31T06:19:00+01:00,2015-01-08T07:34:00+01:00,MOBILE
dgumqj,Gefahrenstellen,"Schwarzwaldstraße 29, 76137 Karlsruhe, Deutschland",Behoben,2014-12-31T06:15:00+01:00,2015-01-22T14:25:00+01:00,MOBILE
znr5oj,Verunreinigungen,"Kapellenstraße 66, 76131 Karlsruhe, Deutschland",Eingetroffen,2014-12-31T01:43:00+01:00,2014-12-31T01:43:00+01:00,MOBILE
pbczem,Verunreinigungen,"Siemensallee 86, 76187 Karlsruhe, Deutschland",Eingetroffen,2014-12-30T19:09:00+01:00,2014-12-30T19:09:00+01:00,MOBILE
2uktbp,Verunreinigungen,"Siemensallee 86, 76187 Karlsruhe, Deutschland",Eingetroffen,2014-12-30T19:09:00+01:00,2014-12-30T19:09:00+01:00,MOBILE
l9hnhs,Gefahrenstellen,"Elsässer Platz, 76187 Karlsruhe, Deutschland",Behoben,2014-12-30T16:08:00+01:00,2015-01-09T08:01:00+01:00,MOBILE
h1u9wt,Gefahrenstellen,"Hegaustraße 4, 76199 Karlsruhe, Deutschland",Behoben,2014-12-30T15:26:00+01:00,2015-01-22T14:23:00+01:00,MOBILE
79yaxx,Gefahrenstellen,"Tulpenstraße 6A, 76199 Karlsruhe, Deutschland",Behoben,2014-12-30T15:20:00+01:00,2015-01-22T14:24:00+01:00,MOBILE
1xlbxn,Gefahrenstellen,"Tulpenstraße 6A, 76199 Karlsruhe, Deutschland",Eingetroffen,2014-12-30T15:20:00+01:00,2014-12-30T15:20:00+01:00,MOBILE
ihrchh,Verunreinigungen,"Waldstraße 63-65, 76133 Karlsruhe, Deutschland",Behoben,2014-12-30T14:45:00+01:00,2015-03-19T10:27:00+01:00,MOBILE
amop56,Gefahrenstellen,"Erzbergerstraße 111B, 76133 Karlsruhe, Deutschland",Eingetroffen,2014-12-30T10:53:00+01:00,2014-12-30T10:53:00+01:00,MOBILE
