Date, Cycle Count, Fully Charged, Charge Remaining (mAh), Full Charge Capacity (mAh), Voltage (mV)
18-11-2016 12:00, 377, Yes, 5110, 5110, 8379
18-11-2016 13:00, 377, Yes, 5110, 5110, 8379
18-11-2016 14:00, 377, Yes, 5110, 5110, 8379
18-11-2016 15:00, 377, Yes, 5110, 5110, 8379
18-11-2016 16:00, 377, Yes, 5110, 5110, 8379
18-11-2016 17:00, 377, Yes, 5110, 5110, 8379
18-11-2016 18:00, 377, Yes, 5110, 5110, 8379
18-11-2016 19:00, 377, Yes, 5110, 5110, 8379
18-11-2016 20:00, 377, Yes, 5065, 5116, 8286
18-11-2016 21:00, 377, Yes, 5065, 5116, 8286
18-11-2016 22:00, 377, Yes, 5065, 5116, 8286
18-11-2016 23:00, 377, Yes, 5065, 5116, 8286
19-11-2016 00:00, 377, Yes, 5065, 5116, 8286
19-11-2016 01:52, 377, Yes, 5066, 5116, 8289
19-11-2016 02:52, 377, Yes, 5066, 5116, 8289
19-11-2016 03:52, 377, Yes, 5066, 5116, 8289
19-11-2016 04:52, 377, Yes, 5066, 5116, 8289
19-11-2016 05:52, 377, Yes, 5053, 5116, 8288
19-11-2016 06:52, 377, Yes, 5053, 5116, 8288
19-11-2016 07:52, 377, Yes, 5053, 5116, 8288
19-11-2016 08:52, 377, Yes, 5053, 5116, 8288
19-11-2016 09:52, 377, Yes, 5053, 5116, 8288
19-11-2016 10:00, 377, Yes, 5053, 5116, 8287
19-11-2016 11:00, 377, Yes, 5053, 5116, 8287
19-11-2016 12:38, 377, Yes, 5002, 5102, 8263
19-11-2016 15:07, 377, Yes, 4935, 5070, 8114
19-11-2016 16:00, 377, No, 4373, 5106, 7894
19-11-2016 17:12, 377, No, 4290, 5106, 8059
19-11-2016 18:12, 377, No, 4319, 5093, 8171
19-11-2016 19:00, 377, No, 4979, 5093, 8371
19-11-2016 20:00, 377, Yes, 5093, 5093, 8378
19-11-2016 21:00, 377, Yes, 5093, 5093, 8378
19-11-2016 22:39, 377, Yes, 5093, 5093, 8291
19-11-2016 23:00, 377, Yes, 5093, 5093, 8290
20-11-2016 00:00, 377, Yes, 5093, 5093, 8290
20-11-2016 01:53, 377, Yes, 5033, 5103, 8264
20-11-2016 10:58, 377, Yes, 4965, 5100, 8263
20-11-2016 11:00, 377, Yes, 4965, 5100, 8263
20-11-2016 13:08, 377, Yes, 4954, 5105, 8240
20-11-2016 14:00, 377, Yes, 4938, 5107, 8246
20-11-2016 15:00, 377, Yes, 4938, 5107, 8246
20-11-2016 16:00, 377, Yes, 4938, 5107, 8246
20-11-2016 17:00, 377, Yes, 4938, 5107, 8246
20-11-2016 18:00, 377, Yes, 4938, 5107, 8246
20-11-2016 19:00, 377, Yes, 4938, 5107, 8246
20-11-2016 20:17, 377, Yes, 4924, 5107, 8246
20-11-2016 21:36, 377, Yes, 4924, 5107, 8247
20-11-2016 22:36, 377, Yes, 4924, 5107, 8247
20-11-2016 23:12, 377, Yes, 4941, 5107, 8247
21-11-2016 00:00, 377, Yes, 4941, 5107, 8247
21-11-2016 01:18, 377, Yes, 4924, 5120, 8225
21-11-2016 09:51, 377, Yes, 4864, 5117, 8225
21-11-2016 10:00, 377, Yes, 4864, 5117, 8225
21-11-2016 11:00, 377, Yes, 4864, 5117, 8225
21-11-2016 12:00, 377, Yes, 4864, 5117, 8225
21-11-2016 13:00, 377, Yes, 4864, 5117, 8225
21-11-2016 14:00, 377, Yes, 4864, 5117, 8225
21-11-2016 15:00, 377, Yes, 4864, 5117, 8225
21-11-2016 16:00, 377, Yes, 4864, 5117, 8225
21-11-2016 17:00, 377, Yes, 4864, 5117, 8225
21-11-2016 18:00, 377, Yes, 4864, 5117, 8225
21-11-2016 19:00, 377, Yes, 4864, 5117, 8225
21-11-2016 20:52, 377, No, 4857, 5127, 8204
21-11-2016 21:00, 377, No, 4935, 5127, 8322
21-11-2016 22:10, 377, Yes, 5127, 5127, 8295
21-11-2016 23:00, 377, Yes, 5127, 5127, 8295
22-11-2016 00:00, 377, Yes, 5127, 5127, 8295
22-11-2016 01:52, 377, Yes, 5063, 5099, 8263
22-11-2016 08:33, 377, Yes, 4955, 5070, 7925
22-11-2016 09:51, 377, No, 4804, 5070, 8201
22-11-2016 11:00, 377, No, 4784, 5066, 8315
22-11-2016 12:00, 377, Yes, 5066, 5066, 8379
22-11-2016 13:00, 377, Yes, 5066, 5066, 8379
22-11-2016 14:00, 377, Yes, 5066, 5066, 8379
22-11-2016 15:00, 377, Yes, 5066, 5066, 8379
22-11-2016 16:00, 377, Yes, 5066, 5066, 8379
22-11-2016 17:00, 377, Yes, 5066, 5066, 8379
22-11-2016 18:00, 377, Yes, 5066, 5066, 8379
22-11-2016 19:00, 377, Yes, 5066, 5066, 8379
22-11-2016 20:00, 377, Yes, 5066, 5066, 8379
22-11-2016 21:00, 377, Yes, 5086, 5126, 8287
22-11-2016 22:00, 377, Yes, 5086, 5126, 8287
22-11-2016 23:00, 377, Yes, 5086, 5126, 8287
23-11-2016 00:22, 377, Yes, 5086, 5126, 8287
23-11-2016 01:23, 377, Yes, 5089, 5126, 8288
23-11-2016 02:23, 377, Yes, 5089, 5126, 8288
23-11-2016 03:23, 377, Yes, 5089, 5126, 8287
23-11-2016 04:23, 377, Yes, 5089, 5126, 8287
23-11-2016 05:23, 377, Yes, 5089, 5126, 8287
23-11-2016 06:23, 377, Yes, 5080, 5126, 8287
23-11-2016 07:23, 377, Yes, 5080, 5126, 8286
23-11-2016 08:23, 377, Yes, 5080, 5126, 8287
23-11-2016 09:23, 377, Yes, 5080, 5126, 8286
23-11-2016 10:09, 377, Yes, 5080, 5126, 8287
23-11-2016 11:00, 377, Yes, 5028, 5093, 8270
23-11-2016 12:00, 377, Yes, 5028, 5093, 8270
23-11-2016 13:00, 377, Yes, 5028, 5093, 8270
23-11-2016 14:00, 377, Yes, 5028, 5093, 8270
23-11-2016 15:00, 377, Yes, 5028, 5093, 8270
23-11-2016 16:00, 377, Yes, 5028, 5093, 8270
23-11-2016 17:00, 377, Yes, 5028, 5093, 8270
23-11-2016 18:00, 377, Yes, 5028, 5093, 8270
23-11-2016 19:00, 377, Yes, 5028, 5093, 8270
23-11-2016 20:00, 377, Yes, 5056, 5131, 8269
23-11-2016 21:00, 377, Yes, 5056, 5131, 8269
23-11-2016 22:00, 377, Yes, 5056, 5131, 8269
23-11-2016 23:00, 377, Yes, 5056, 5131, 8269
24-11-2016 00:13, 377, Yes, 5056, 5131, 8274
24-11-2016 01:23, 377, Yes, 5056, 5131, 8274
24-11-2016 02:23, 377, Yes, 5056, 5131, 8275
24-11-2016 03:23, 377, Yes, 5056, 5131, 8274
24-11-2016 04:23, 377, Yes, 5056, 5131, 8274
24-11-2016 05:23, 377, Yes, 5056, 5131, 8274
